arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	total_swap	accepted_swap	rejected_swap	aborted_swap	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k6_N10_40nm_4.xml	clma.blif	common	0.11	parmys	30.52 MiB		-1	-1	0.06	31256	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_40nm_4.xml	clma.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	0.11	parmys	30.52 MiB		-1	-1	0.06	31256	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_40nm_4.xml	elliptic.blif	common	0.07	parmys	20.50 MiB		-1	-1	0.02	20988	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_40nm_4.xml	elliptic.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	0.08	parmys	20.49 MiB		-1	-1	0.03	20984	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_40nm_4.xml	ex1010.blif	common	0.09	parmys	23.27 MiB		-1	-1	0.03	23824	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_40nm_4.xml	ex1010.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	0.09	parmys	23.26 MiB		-1	-1	0.03	23820	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_40nm_4.xml	frisc.blif	common	0.09	parmys	23.82 MiB		-1	-1	0.03	24392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_40nm_4.xml	frisc.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	0.09	parmys	23.82 MiB		-1	-1	0.04	24392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_40nm_4.xml	pdc.blif	common	0.09	parmys	24.59 MiB		-1	-1	0.04	25184	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_40nm_4.xml	pdc.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	0.09	parmys	24.59 MiB		-1	-1	0.04	25184	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	unknown	unknown	unknown	unknown	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
