arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	total_swap	accepted_swap	rejected_swap	aborted_swap	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k6_N10_40nm_1.xml	clma.blif	common	54.06	vpr	129.28 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	646	62	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	132384	62	82	6320	6402	1	3804	790	28	28	784	clb	auto	78.2 MiB	1.80	52040	285490	85555	190587	9348	113.6 MiB	3.14	0.04	7.6215	-336.316	-7.6215	7.6215	1.76	0.00644701	0.00517432	0.584387	0.488397	78	76959	33	3.64324e+07	3.48156e+07	4.08425e+06	5209.50	39.37	4.09334	3.47133	81428	859794	-1	69812	31	32348	154641	7192465	910833	8.23084	8.23084	-386.11	-8.23084	0	0	5.14805e+06	6566.39	1.34	1.74	0.47	-1	-1	1.34	0.687244	0.60665	
k6_N10_40nm_1.xml	clma.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	53.79	vpr	130.06 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	646	62	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	133184	62	82	6320	6402	1	3804	790	28	28	784	clb	auto	78.2 MiB	1.81	52040	285490	85555	190587	9348	113.6 MiB	3.13	0.04	7.6215	-336.316	-7.6215	7.6215	1.74	0.00631783	0.00506342	0.57244	0.477275	78	76959	33	3.64324e+07	3.48156e+07	4.08425e+06	5209.50	39.10	4.03689	3.38778	81428	859794	-1	69812	31	32348	154641	7192465	910833	8.23084	8.23084	-386.11	-8.23084	0	0	5.14805e+06	6566.39	1.34	1.74	0.47	-1	-1	1.34	0.675404	0.602365	
k6_N10_40nm_1.xml	elliptic.blif	common	13.46	vpr	78.87 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	226	131	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	80760	131	114	3386	3500	1	1280	471	18	18	324	clb	auto	41.6 MiB	0.65	14046	126810	36542	84414	5854	78.9 MiB	0.85	0.01	6.71221	-3432.13	-6.71221	6.71221	0.64	0.00267834	0.00223031	0.221774	0.184258	62	25025	29	1.37969e+07	1.218e+07	1.32550e+06	4091.04	8.49	1.61251	1.35784	29816	263480	-1	21223	24	8385	43513	2039267	270962	7.39545	7.39545	-4027.24	-7.39545	0	0	1.62910e+06	5028.10	0.41	0.48	0.14	-1	-1	0.41	0.225244	0.202044	
k6_N10_40nm_1.xml	elliptic.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	13.52	vpr	78.97 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	226	131	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	80868	131	114	3386	3500	1	1280	471	18	18	324	clb	auto	41.6 MiB	0.65	14046	126810	36542	84414	5854	79.0 MiB	0.85	0.01	6.71221	-3432.13	-6.71221	6.71221	0.64	0.00268584	0.00224272	0.222767	0.185133	62	25025	29	1.37969e+07	1.218e+07	1.32550e+06	4091.04	8.55	1.61748	1.36215	29816	263480	-1	21223	24	8385	43513	2039267	270962	7.39545	7.39545	-4027.24	-7.39545	0	0	1.62910e+06	5028.10	0.41	0.47	0.13	-1	-1	0.41	0.223822	0.200784	
k6_N10_40nm_1.xml	ex1010.blif	common	23.07	vpr	84.93 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	339	10	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	86964	10	10	3103	3113	0	1500	359	21	21	441	clb	auto	48.1 MiB	0.95	24188	74309	20021	51982	2306	84.9 MiB	0.90	0.01	5.86008	-56.0986	-5.86008	nan	0.92	0.0031882	0.00252778	0.223487	0.187643	70	40471	43	1.94557e+07	1.82701e+07	2.06124e+06	4674.02	16.30	1.90091	1.59988	43382	420366	-1	35060	22	12170	75875	3527827	418592	6.38901	nan	-61.4049	-6.38901	0	0	2.57454e+06	5837.96	0.65	0.72	0.22	-1	-1	0.65	0.259414	0.235458	
k6_N10_40nm_1.xml	ex1010.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	23.09	vpr	85.11 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	339	10	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	87152	10	10	3103	3113	0	1500	359	21	21	441	clb	auto	48.4 MiB	0.96	24188	74309	20021	51982	2306	85.1 MiB	0.90	0.01	5.86008	-56.0986	-5.86008	nan	0.92	0.0031689	0.00252318	0.221976	0.186431	70	40471	43	1.94557e+07	1.82701e+07	2.06124e+06	4674.02	16.30	1.8885	1.59056	43382	420366	-1	35060	22	12170	75875	3527827	418592	6.38901	nan	-61.4049	-6.38901	0	0	2.57454e+06	5837.96	0.65	0.72	0.22	-1	-1	0.65	0.258182	0.234557	
k6_N10_40nm_1.xml	frisc.blif	common	19.43	vpr	86.05 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	306	20	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	88116	20	116	3834	3950	1	1632	442	20	20	400	clb	auto	48.7 MiB	0.90	24282	121618	32728	81301	7589	86.1 MiB	1.16	0.02	7.66846	-3930.6	-7.66846	7.66846	0.82	0.00317321	0.00263264	0.276619	0.229007	80	41382	35	1.74617e+07	1.64916e+07	2.04130e+06	5103.26	12.70	1.81982	1.52355	41700	425684	-1	35051	26	11752	63305	3266515	427876	8.33411	8.33411	-4457.84	-8.33411	0	0	2.56833e+06	6420.82	0.63	0.67	0.23	-1	-1	0.63	0.287767	0.257223	
k6_N10_40nm_1.xml	frisc.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	19.49	vpr	86.07 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	306	20	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	88140	20	116	3834	3950	1	1632	442	20	20	400	clb	auto	48.7 MiB	0.90	24282	121618	32728	81301	7589	86.1 MiB	1.15	0.02	7.66846	-3930.6	-7.66846	7.66846	0.82	0.00317566	0.0026292	0.276421	0.228882	80	41382	35	1.74617e+07	1.64916e+07	2.04130e+06	5103.26	12.78	1.83791	1.53826	41700	425684	-1	35051	26	11752	63305	3266515	427876	8.33411	8.33411	-4457.84	-8.33411	0	0	2.56833e+06	6420.82	0.63	0.67	0.23	-1	-1	0.63	0.287748	0.257227	
k6_N10_40nm_1.xml	pdc.blif	common	23.83	vpr	90.65 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	385	16	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	92828	16	40	3645	3685	0	1856	441	22	22	484	clb	auto	54.0 MiB	1.02	26050	102799	28734	70452	3613	90.7 MiB	1.16	0.02	5.91563	-204.815	-5.91563	nan	1.02	0.00388625	0.00309242	0.283318	0.237278	64	40705	37	2.15576e+07	2.07492e+07	2.09810e+06	4334.92	16.08	2.44189	2.05638	45724	427816	-1	36085	32	14721	79729	3623826	458046	6.37823	nan	-225.061	-6.37823	0	0	2.62067e+06	5414.61	0.66	0.93	0.22	-1	-1	0.66	0.384377	0.343254	
k6_N10_40nm_1.xml	pdc.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	23.88	vpr	90.66 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	385	16	-1	-1	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part2	92836	16	40	3645	3685	0	1856	441	22	22	484	clb	auto	53.7 MiB	1.02	26050	102799	28734	70452	3613	90.7 MiB	1.16	0.02	5.91563	-204.815	-5.91563	nan	1.02	0.00386361	0.00304755	0.285903	0.238101	64	40705	37	2.15576e+07	2.07492e+07	2.09810e+06	4334.92	16.13	2.43436	2.04367	45724	427816	-1	36085	32	14721	79729	3623826	458046	6.37823	nan	-225.061	-6.37823	0	0	2.62067e+06	5414.61	0.66	0.94	0.22	-1	-1	0.66	0.389983	0.348166	
