arch	circuit	script_params	vtr_flow_elapsed_time	vtr_max_mem_stage	vtr_max_mem	error	odin_synth_time	max_odin_mem	parmys_synth_time	max_parmys_mem	abc_depth	abc_synth_time	abc_cec_time	abc_sec_time	max_abc_mem	ace_time	max_ace_mem	num_clb	num_io	num_memories	num_mult	vpr_status	vpr_revision	vpr_build_info	vpr_compiler	vpr_compiled	hostname	rundir	max_vpr_mem	num_primary_inputs	num_primary_outputs	num_pre_packed_nets	num_pre_packed_blocks	num_netlist_clocks	num_post_packed_nets	num_post_packed_blocks	device_width	device_height	device_grid_tiles	device_limiting_resources	device_name	pack_mem	pack_time	placed_wirelength_est	total_swap	accepted_swap	rejected_swap	aborted_swap	place_mem	place_time	place_quench_time	placed_CPD_est	placed_setup_TNS_est	placed_setup_WNS_est	placed_geomean_nonvirtual_intradomain_critical_path_delay_est	place_delay_matrix_lookup_time	place_quench_timing_analysis_time	place_quench_sta_time	place_total_timing_analysis_time	place_total_sta_time	min_chan_width	routed_wirelength	min_chan_width_route_success_iteration	logic_block_area_total	logic_block_area_used	min_chan_width_routing_area_total	min_chan_width_routing_area_per_tile	min_chan_width_route_time	min_chan_width_total_timing_analysis_time	min_chan_width_total_sta_time	crit_path_num_rr_graph_nodes	crit_path_num_rr_graph_edges	crit_path_collapsed_nodes	crit_path_routed_wirelength	crit_path_route_success_iteration	crit_path_total_nets_routed	crit_path_total_connections_routed	crit_path_total_heap_pushes	crit_path_total_heap_pops	critical_path_delay	geomean_nonvirtual_intradomain_critical_path_delay	setup_TNS	setup_WNS	hold_TNS	hold_WNS	crit_path_routing_area_total	crit_path_routing_area_per_tile	router_lookahead_computation_time	crit_path_route_time	crit_path_create_rr_graph_time	crit_path_create_intra_cluster_rr_graph_time	crit_path_tile_lookahead_computation_time	crit_path_router_lookahead_computation_time	crit_path_total_timing_analysis_time	crit_path_total_sta_time	
k6_frac_N10_mem32K_40nm.xml	alu4.blif	common_--pack	0.91	vpr	72.27 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	14	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	74004	14	8	1187	1195	0	553	129	14	14	196	clb	auto	34.7 MiB	0.55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.00131456	0.00107804	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_mem32K_40nm.xml	alu4.blif	common_--place	0.09	vpr	27.37 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	28024	14	8	1187	1195	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_mem32K_40nm.xml	alu4.blif	common_--place_algorithm_bounding_box	4.09	vpr	72.25 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	14	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	73988	14	8	1187	1195	0	553	129	14	14	196	clb	auto	34.7 MiB	0.55	5055	23204	9792	8566	4846	72.3 MiB	0.03	0.00	-1	-1	-1	-1	-1	0	0	0	0	36	7907	38	9.20055e+06	5.76666e+06	447080.	2281.02	2.37	0.419173	0.356299	17904	87272	-1	6888	15	2465	9211	258127	46765	4.84659	nan	-31.6055	-4.84659	0	0	553101.	2821.94	0.14	0.11	0.05	-1	-1	0.14	0.0754788	0.0700154	
k6_frac_N10_mem32K_40nm.xml	alu4.blif	common_--RL_agent_placement_off	4.39	vpr	72.27 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	14	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	74000	14	8	1187	1195	0	553	129	14	14	196	clb	auto	34.7 MiB	0.55	4580	9554	1398	8156	0	72.3 MiB	0.10	0.00	4.23617	-25.773	-4.23617	nan	0.36	0.00101909	0.000804011	0.0452671	0.038843	34	7207	31	9.20055e+06	5.76666e+06	429172.	2189.65	1.99	0.387398	0.331248	17708	83218	-1	6520	16	2505	12131	339625	62761	5.09959	nan	-31.5609	-5.09959	0	0	527839.	2693.05	0.14	0.12	0.05	-1	-1	0.14	0.0772149	0.0713087	
k6_frac_N10_mem32K_40nm.xml	alu4.blif	common	4.60	vpr	72.26 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	14	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	73996	14	8	1187	1195	0	553	129	14	14	196	clb	auto	34.7 MiB	0.55	4503	10204	1527	8014	663	72.3 MiB	0.11	0.00	4.07994	-25.2983	-4.07994	nan	0.37	0.00101339	0.000805514	0.047383	0.0407925	38	7113	22	9.20055e+06	5.76666e+06	467360.	2384.49	2.16	0.433032	0.368512	18292	93538	-1	6326	16	2235	10601	269838	49736	5.28617	nan	-31.5771	-5.28617	0	0	593353.	3027.31	0.15	0.11	0.05	-1	-1	0.15	0.0775905	0.0717488	
k6_frac_N10_mem32K_40nm.xml	alu4.blif	common_--reorder_rr_graph_nodes_algorithm_random_shuffle	4.58	vpr	72.27 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	14	0	0	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	74004	14	8	1187	1195	0	553	129	14	14	196	clb	auto	34.7 MiB	0.55	4503	10204	1527	8014	663	72.3 MiB	0.11	0.00	4.07994	-25.2983	-4.07994	nan	0.37	0.00101363	0.000804352	0.0472464	0.0406284	38	7113	22	9.20055e+06	5.76666e+06	467360.	2384.49	2.15	0.430963	0.366805	18292	93538	-1	6326	16	2235	10601	269838	49736	5.28617	nan	-31.5771	-5.28617	0	0	593353.	3027.31	0.15	0.11	0.05	-1	-1	0.15	0.0776444	0.0717935	
k6_frac_N10_mem32K_40nm.xml	diffeq1.blif	common_--pack	0.52	vpr	67.30 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	162	0	5	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	68920	162	96	994	935	1	694	299	16	16	256	mult_36	auto	29.3 MiB	0.19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.0015947	0.00149575	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_mem32K_40nm.xml	diffeq1.blif	common_--place	0.09	vpr	26.84 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	exited with return code 1	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	27488	162	96	994	935	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_frac_N10_mem32K_40nm.xml	diffeq1.blif	common_--place_algorithm_bounding_box	7.92	vpr	67.32 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	162	0	5	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	68936	162	96	994	935	1	694	299	16	16	256	mult_36	auto	29.3 MiB	0.19	5218	85214	27114	50522	7578	67.3 MiB	0.09	0.00	-1	-1	-1	-1	-1	0	0	0	0	52	12049	44	1.21132e+07	3.92018e+06	805949.	3148.24	6.32	0.46768	0.431286	25992	162577	-1	9357	18	3183	6264	1883070	536859	23.0499	23.0499	-1773.76	-23.0499	0	0	1.06067e+06	4143.25	0.26	0.28	0.09	-1	-1	0.26	0.0614931	0.058167	
k6_frac_N10_mem32K_40nm.xml	diffeq1.blif	common_--RL_agent_placement_off	7.87	vpr	67.30 MiB		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	162	0	5	success	v8.0.0-9695-g109c5adcc	release IPO VTR_ASSERT_LEVEL=2	GNU 11.2.0 on Linux-4.18.0-348.el8.0.2.x86_64 x86_64	2024-02-23T09:38:13	c010.sol.rc.asu.edu	/home/sfberrio/repos/lab1/lab3/src/part3	68920	162	96	994	935	1	694	299	16	16	256	mult_36	auto	29.3 MiB	0.19	5092	81218	27700	53518	0	67.3 MiB	0.23	0.00	19.9924	-1585.34	-19.9924	19.9924	0.49	0.00100502	0.000910722	0.0905988	0.082552	54	12415	35	1.21132e+07	3.92018e+06	835850.	3265.04	5.29	0.536687	0.494081	26248	167850	-1	9021	18	3156	6312	1820585	519275	22.3983	22.3983	-1766.49	-22.3983	0	0	1.08614e+06	4242.72	0.26	0.27	0.10	-1	-1	0.26	0.0616148	0.0583565	
